Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\AcademicCouncil\1989\89_11_28.htm, AcademicCouncil, .htm, 5105B, 2006/03/31, 1999/08/18, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1989\89_12_07.htm, AcademicCouncil, .htm, 6361B, 2006/03/31, 1999/08/18, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1989\89_12_12.htm, AcademicCouncil, .htm, 4998B, 2006/03/31, 1999/08/18, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_01_09.htm, AcademicCouncil, .htm, 5609B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_01_16.htm, AcademicCouncil, .htm, 5451B, 2006/03/31, 1999/08/25, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_01_23.htm, AcademicCouncil, .htm, 7178B, 2006/03/31, 1999/08/25, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_01_30.htm, AcademicCouncil, .htm, 7996B, 2006/03/31, 1999/08/25, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_02_06.htm, AcademicCouncil, .htm, 3179B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_02_08.htm, AcademicCouncil, .htm, 3807B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_02_13.htm, AcademicCouncil, .htm, 6517B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_02_20.htm, AcademicCouncil, .htm, 4742B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_03_06.htm, AcademicCouncil, .htm, 8172B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
