Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\login.gif, \, .gif, 1809B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\login_over.gif, \, .gif, 1813B, 2006/03/31, 2004/09/02, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\lookup.asp, \, .asp, 752B, 2006/08/14, 2010/09/17, 0, BUILTIN\Administrators
\\lehi3\www$\lookup2.asp, \, .asp, 3244B, 2010/09/20, 2010/09/24, 0, BYUI\hepshaw
\\lehi3\www$\mediaspacetheming.zip, \, .zip, 964584B, 2013/04/23, 2013/04/19, 0, BYUI\doughogg
\\lehi3\www$\name.gif, \, .gif, 1793B, 2006/03/31, 2001/08/09, 0, BUILTIN\Administrators
\\lehi3\www$\navLinks.xml, \, .xml, 773B, 2006/03/31, 2004/10/29, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\navLinks.xsl, \, .xsl, 699B, 2006/03/31, 2004/10/28, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\news.xml, \, .xml, 879B, 2006/03/31, 2004/10/28, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\news.xsl, \, .xsl, 2504B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\newS_code.zip, \, .zip, 9554B, 2013/07/26, 2013/07/26, 0, BYUI\doughogg
\\lehi3\www$\new_home.htm, \, .htm, 14561B, 2011/05/02, 2011/05/04, 0, BYUI\pboss
\\lehi3\www$\new_menu1.html, \, .html, 1905B, 2006/03/31, 2005/01/05, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\OLDAcademicPrograms.htm, \, .htm, 2620B, 2006/08/31, 2006/08/31, 0, S-1-5-21-1606980848-308236825-1801674531-31800
\\lehi3\www$\OLDStudentLife.htm, \, .htm, 2547B, 2006/08/31, 2006/08/31, 0, S-1-5-21-1606980848-308236825-1801674531-31800
\\lehi3\www$\pagerror.gif, \, .gif, 2806B, 2006/03/31, 2003/02/21, 0, BUILTIN\Administrators
\\lehi3\www$\qLinks.xml, \, .xml, 2372B, 2006/03/31, 2004/10/28, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\qLinks.xsl, \, .xsl, 1868B, 2006/03/31, 2004/10/29, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ql_down.gif, \, .gif, 1773B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ql_over.gif, \, .gif, 1786B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ql_static.gif, \, .gif, 1779B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\quicklinks.gif, \, .gif, 1773B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\Redirector.htm, \, .htm, 87B, 2006/09/06, 2008/09/29, 0, BUILTIN\Administrators
\\lehi3\www$\res.htm, \, .htm, 287B, 2006/03/31, 2004/07/16, 0, S-1-5-21-1606980848-308236825-1801674531-12318
\\lehi3\www$\robots.txt, \, .txt, 132B, 2006/03/31, 2005/02/18, 0, S-1-5-21-1606980848-308236825-1801674531-27627
\\lehi3\www$\search.gif, \, .gif, 335B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\search.htm, \, .htm, 5121B, 2011/11/18, 2011/11/18, 0, BUILTIN\Administrators
\\lehi3\www$\searchBox.gif, \, .gif, 1060B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\search_over.gif, \, .gif, 644B, 2006/03/31, 2004/09/02, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\Shortcut to genindex.js.lnk, \, .lnk, 1923B, 2006/03/31, 2016/01/06, 0, BUILTIN\Administrators
\\lehi3\www$\Shortcut to WebCameras.lnk, \, .lnk, 1432B, 2007/08/13, 2016/01/06, 0, S-1-5-21-1606980848-308236825-1801674531-28973
\\lehi3\www$\siteindex.htm, \, .htm, 296B, 2006/03/31, 2005/06/23, 0, S-1-5-21-1606980848-308236825-1801674531-38223
\\lehi3\www$\siteindex_backup.htm, \, .htm, 37092B, 2006/03/31, 2005/06/23, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\spacer.gif, \, .gif, 43B, 2006/03/31, 2002/05/31, 0, BUILTIN\Administrators
\\lehi3\www$\spacer.jpg, \, .jpg, 631B, 2006/03/31, 2001/06/07, 0, BUILTIN\Administrators
\\lehi3\www$\t.asp, \, .asp, 12337B, 2006/03/31, 2004/05/27, 0, S-1-5-21-1606980848-308236825-1801674531-12318
\\lehi3\www$\test.htm, \, .htm, 16149B, 2006/03/31, 2016/11/30, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\Testdefault.htm, \, .htm, 110B, 2008/01/22, 2004/09/20, 0, BUILTIN\Administrators
\\lehi3\www$\TestPage.htm.bak, \, .bak, 2026B, 2006/03/31, 2004/05/18, 0, BUILTIN\Administrators
\\lehi3\www$\transitionannouncement.htm, \, .htm, 9953B, 2013/06/12, 2007/11/27, 0, BUILTIN\Administrators
\\lehi3\www$\UniversityCommunicatins.jpg, \, .jpg, 40965B, 2011/11/01, 2011/11/01, 0, BUILTIN\Administrators
\\lehi3\www$\ve-124.tmp, \, .tmp, 0B, 2006/03/31, 2004/09/13, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ve-1B.tmp, \, .tmp, 0B, 2006/03/31, 2004/09/13, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ve-1B5.tmp, \, .tmp, 0B, 2006/03/31, 2004/09/21, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ve-283.tmp, \, .tmp, 0B, 2006/03/31, 2004/09/22, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ve-3BC.tmp, \, .tmp, 0B, 2006/03/31, 2004/10/07, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ve-5A6.tmp, \, .tmp, 0B, 2006/03/31, 2004/10/28, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\ve-64F.tmp, \, .tmp, 0B, 2006/03/31, 2004/10/29, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\web.config, \, .config, 1133B, 2016/01/21, 2016/10/19, 0, BUILTIN\Administrators
\\lehi3\www$\Wildlife.wmv, \, .wmv, 26246026B, 2014/12/11, 2009/07/13, 0, BUILTIN\Administrators
\\lehi3\www$\xplug.ocx, \, .ocx, 369952B, 2006/03/31, 2002/09/26, 0, S-1-5-21-1606980848-308236825-1801674531-29956
\\lehi3\www$\ZZZcampus7.html, \, .html, 8316B, 2006/03/31, 2005/03/02, 0, S-1-5-21-1606980848-308236825-1801674531-34656
\\lehi3\www$\.Trashes\503\Recovered files\(A Document Being Saved By Coda)\default.htm, \, .htm, 12557B, 2010/09/01, 2010/09/01, 0, BYUI\nathanbt
\\lehi3\www$\AboutBYUI\.DS_Store, AboutBYUI, .DS_Store, 6148B, 2013/02/25, 2013/02/11, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\.htm, AboutBYUI, .htm, 8288B, 2010/08/12, 2010/08/12, 1, BYUI\rlee8
\\lehi3\www$\AboutBYUI\campuslife.htm, AboutBYUI, .htm, 11069B, 2010/06/14, 2010/07/29, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\contacts.htm, AboutBYUI, .htm, 9763B, 2006/09/14, 2010/07/30, 1, BYUI\mrb62
\\lehi3\www$\AboutBYUI\default.htm, AboutBYUI, .htm, 12429B, 2010/06/11, 2010/10/20, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\graduates.htm, AboutBYUI, .htm, 7589B, 2010/06/14, 2010/07/30, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\legacy.htm, AboutBYUI, .htm, 14386B, 2010/06/14, 2010/07/30, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\mission.htm, AboutBYUI, .htm, 7496B, 2010/06/14, 2010/07/29, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\participant.htm, AboutBYUI, .htm, 7255B, 2010/06/14, 2010/07/29, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\spiritofricks.htm, AboutBYUI, .htm, 7504B, 2010/06/14, 2010/06/14, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\studyandfaith.htm, AboutBYUI, .htm, 12799B, 2010/06/14, 2010/07/29, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\test.htm, AboutBYUI, .htm, 7067B, 2010/08/12, 2010/08/12, 1, BYUI\rlee8
\\lehi3\www$\AboutBYUI\testdoc5.txt, AboutBYUI, .txt, 7B, 2016/10/11, 2016/11/29, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\today.htm, AboutBYUI, .htm, 9870B, 2010/06/14, 2010/07/29, 1, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\images_about_byui\._CampusView.jpg, AboutBYUI, .jpg, 72787B, 2010/07/07, 2010/07/07, 2, BYUI\mrb62
\\lehi3\www$\AboutBYUI\images_about_byui\080917_StuTraffic_15.jpg, AboutBYUI, .jpg, 103598B, 2010/06/14, 2010/06/14, 2, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\images_about_byui\campuslife.jpg, AboutBYUI, .jpg, 3955B, 2010/06/14, 2010/06/14, 2, BUILTIN\Administrators
\\lehi3\www$\AboutBYUI\images_about_byui\CampusView.jpg, AboutBYUI, .jpg, 152944B, 2010/07/07, 2010/07/07, 2, BYUI\mrb62
